# ------------------------------------------------------------------------------
# Table des genres de documents.
#
# 2014-07-17 Version initiale au format table.
#            Basée sur les tables qu'on avait avant (tables spécifiques par
#            type) et sur les valeurs trouvées dans les abses Prisme/Afertes.
#            cf. https://github.com/daniel-menard/prisme/issues/93
# 2014-10-16 Ajout des entrées leaving-certificate, licence, master et 
#            doctorate (https://github.com/daniel-menard/prisme/issues/202)
# 2014-12-11 Ajout de HDR et ajout d'un "voir aussi" vers hdr pour thesis, 
#            mémoire et professional-practices. 
#            (https://github.com/daniel-menard/prisme/issues/219)
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
professional-practices;Dossier de pratiques professionnelles;;;;mémoire¤thesis¤habilitation;Analyse d'expériences professionnelles, récentes ou en cours, présentées par leurs auteurs pour un groupe de personnes exerçant la même profession.;degree;
technical-course;Stage technique;;;;;Période de formation, d'apprentissage ou de perfectionnement qui dure quelques jours à plusieurs mois effectué dans un lieu approprié à l'acquisition des techniques propres à un domaine ou un métier donné.;video;
study;Étude;;;;scientific-study;Œuvre littéraire ou scientifique étudiant un sujet donné.;book;
leaving-certificate;Écrit de fin d'étude;;;;;Ecrit réalisé en vue de l'obtenition d'un diplôme de fin détudes.;degree,book;
licence;Licence;;;;;Ecrit réalisé en vue de l'obtention d'un diplôme de niveau bac+3.;degree,book;
master;Master;;;;;Ecrit réalisé en vue de l'obtention d'un diplôme de niveau bac+5 (ou bac+6 dans d'autres pays).;degree,book;
doctorate;Doctorate;;;;;Ecrit réalisé en vue de l'obtention d'un diplôme de niveau bac+8.;degree,book;
scientific-study;Étude scientifique;;;;;Étude relevant d'une démarche rationnelle, organisée et rigoureuse destinée à produire et à développer les connaissances scientifiques.;Report;
# ------------------------------------------------------------------------------
# Législation et documents juridiques
# ------------------------------------------------------------------------------
judgement;Arrêt;;;;adjudication;Décision (jugement) publiée par une cour supérieure d'un système judiciaire.;legislation;
order;Arrêté;;;;interministerial-order¤ministerial-order¤prefectoral-order;Décision exécutoire à portée générale ou individuelle émanant d'un ou plusieurs ministres (arrêté ministériel ou interministériel) ou d'autres autorités administratives (préfet, maire...);legislation;
interministerial-order;Arrêté interministériel;;;;order¤ministerial-order¤prefectoral-order;Arrêté émanant de plusieurs ministres.;legislation;
ministerial-order;Arrêté ministériel;;;;order¤interministerial-order¤prefectoral-order;Arrêté émanant d'un ministre.;legislation;
prefectoral-order;Arrêté préfectoral;;;;order¤interministerial-order¤ministerial-order;Arrêté émanant d'un préfet.;legislation;
amendment;Avenant;;;;;Clause additionnelle, ou convention additionnelle apportant des modifications à un contrat antérieurement conclu et toujours en cours.;legislation;
opinion;Avis;;;;deliberation;Résultat des délibérations et des consultations facultatives ou obligatoires demandées à des organes divers (commission, haut conseil, etc.).;legislation;
charter;Charte;;;;;Acte juridique signé par plusieurs acteurs pour définir un objectif et parfois des moyens communs.;legislation;
circular;Circulaire;;;;;Texte destiné aux membres d'une administration, d'une entreprise ou d'un service.;legislation;
agreement;Convention;;;;;Accord de volonté se traduisant par un contrat conclu entre des organismes ou des personnes pour créer, modifier, éteindre, ou transférer des obligations.;legislation;
adjudication;Décision de justice;;;;judgement;Acte rendu par un ou plusieurs juges après la saisine d'une autorité habilitée à trancher un litige (tribunal) ou à rendre un avis sur le sujet pour lequel elle est sollicitée.;legislation;
presidential-order;Décision du président;;;;;Acte pris par le Président de la République, en cas d'interruption du fonctionnement régulier des pouvoirs publics.;legislation;
statement;Déclaration;;;;;Déclaration des droits de l'homme, …;legislation;
decree;Décret;;;;prime-minister-decree¤presidential-decree¤statutory-order;Décret usuel signé par le Premier Ministre.;legislation;
prime-minister-decree;Décret en Conseil d’État;;;;decree¤presidential-decree¤statutory-order;Décret signé par le Premier Ministre sur avis conforme du Conseil d’État;legislation;
presidential-decree;Décret Présidentiel;;;;decree¤prime-minister-decree¤statutory-order;Décret signé par le Président de la République en conseil des ministres.;legislation;
statutory-order;Décret-loi;;;;decree¤prime-minister-decree¤presidential-decree;Acte de gouvernement pris en vertu d'une habilitation législative dans un domaine relevant normalement de la compétence de la loi.;legislation;
deliberation;Délibération;;;;opinion;Confrontation de points de vue visant à trancher un problème ou un choix difficile par l'adoption d'un jugement ou d'une décision réfléchie.;legislation;
directive;Directive;;;;european-directive;Acte administratif par lequel le titulaire d'une compétence discrétionnaire fixe par avance la manière dont il va l'utiliser et la ligne de conduite à suivre.;legislation;
european-directive;Directive européenne;;;;directive;Acte normatif pris par les institutions de l'Union européenne indiquant aux états membres les objectifs à atteindre et les délais accordés.;legislation;
investigation;Instruction;;;;;Mesure adressée par un chef de service à ses subordonnés afin qu'elle soit suivie d'une exécution.;legislation;
jurisprudence;Jurisprudence;;;;;Ensemble des décisions judiciaires et administratives, qui constitue une source du droit.;legislation;
letter;Lettre;;;;;Écrit adressé à quelqu'un pour lui communiquer quelque chose.;legislation;
cabinet-letter;Lettre cabinet;;;;;Lettre diplomatique échangée entre souverains et Chefs d'État de même rang.;legislation;
circular-letter;Lettre circulaire;;;;;Lettre adressée à plusieurs destinataires en même temps.;legislation;
act;Loi;;;;;Loi ordinaire portant des règles de droit.;legislation;
organic-law;Loi organique;;;;;Loi relative à l'organisation des pouvoirs.;legislation;
memorandum;Note de service;;;;;Information ou recommandation communiquée par un organe dirigeant à des personnes placées sous son autorité.;legislation;
information-note;Note d'information;;;;;Information ou instruction donnée par l'employeur aux salariés, pouvant valoir règlement intérieur.;legislation;
ordinance;Ordonnance;;;;;Mesure prise par le gouvernement puis ratifiée par le parlement dans des matières relevant normalement du domaine de la loi (assimilée à un règlement, entre en vigueur dès publication).;legislation;
fundamentals;Principes fondamentaux;;;;;Principes de valeur constitutionnelle dégagés par le Conseil constitutionnel français et par le Conseil d'État.;legislation;
governement-bill;Projet de loi;;;;parliamentary-bill;Texte de loi proposé par le gouvernement (par opposition à une proposition de loi qui émane d'un parlementaire).;legislation;
parliamentary-bill;Proposition de loi;;;;governement-bill;Texte de loi proposé par une personne ou un groupe habilité à faire une telle proposition : parlementaire, sénateur, député (par opposition à un projet de loi qui émane du gouvernement).;legislation;
regulation;Règlement ;;;;;Terme générique en droit pour désigner les actes d'un gouvernement  et les décisions d'un exécutif. Les ordonnances, les règlements en Conseil d'État, les décrets, les arrêtés et les circulaires sont des règlements.;legislation;
autonomous-regulation;Règlement autonome;;;;community-regulation;Les règlements autonomes sont des règlements pris sur le fondement de l'article 37 de la Constitution de 1958;legislation;
;Règlement communautaire;;;;autonomous-regulation;Règlement communautaire applicable dans le droit des états membres.;legislation;
international-treaty;Traité international;international-agreement;;;;;legislation;
international-agreement;Accord international;;;;;Contrat conclu entre plusieurs sujets dotés d'une personnalité morale de droit international (états le plus souvent mais aussi certaines organisations internationales).;legislation;
legal-record;Dossier de droit;;;;;Étude portant sur les aspects législatifs d'un sujet donné.;video;
# ------------------------------------------------------------------------------
# Congrès, colloques, réunions, etc.
# ------------------------------------------------------------------------------
general-meeting;Assemblée générale;;;;;Rassemblement de l'ensemble des membres d'une organisation afin qu'ils rencontrent les dirigeants ou les membres du conseil d'administration.;meeting;
colloquium;Colloque;;;;convention¤congress¤seminar;Conférence de spécialistes (scientifiques).;meeting,book,video;
convention;Conférence;;;;colloquium¤congress¤seminar;Confrontation d'idées (scientifiques ou médicales, philosophiques, politique...) sur un sujet jugé d'importance par les participants.;meeting,book,video;
congress;Congrès;;;;colloquium¤convention¤seminar;Réunion solennelle ou assemblée de personnes compétentes pour débattre d'une question.;meeting;
exhibition;Exposition;;;;exhibition-catalogue¤trade;Présentation au public d'un ensemble d’œuvres sélectionnées;meeting;
exhibition-catalogue;Catalogue d'exposition;;;;exhibition;Liste des œuvres et des objets exposés dans une exposition d'art. Il peut s'agir d'une simple liste sous forme de prospectus ou au contraire d'un livre luxueux sur papier glacé.;book;
research;Recherche;;;;;Activités intellectuelles et travaux ayant pour objet la découverte, l'invention, la progression des connaissances nouvelles ou la conception que l'on a de cette activité.;meeting;
trade;Salon;;;;exhibition;Une exposition rassemblant des spécialistes d'un même secteur en vue de développer une activité.;meeting;
seminar;Séminaire;;;;colloquium¤convention¤congress;Une réunion en petit groupe, généralement dans un but d'enseignement.;meeting;
study-day;Journée d'étude;;;;;Réunion, colloque, débat, etc., qui se déroule dans le cadre d'une discipline sur une ou plusieurs journées.;book,meeting,video;
proceedings;Actes;;;;conference-lecture;Recueil des communications faites lors d'un congrès scientifique et publiées avant ou suite à ce congrès.;article;
conference-lecture;Communication;;;;proceedings;Exposé, écrit ou oral, fait à un groupe et en particulier à une société savante lors d'un congrès, d'un colloque ou d'une conférence.;book,video;
# ------------------------------------------------------------------------------
# Journaux, revues, magazines
# ------------------------------------------------------------------------------
newspaper;Journal;;;;official-journal;Périodique regroupant des articles sur l'actualité du jour ou d'une période donnée.;periodical;
official-journal;Journal officiel;;;;;Périodiques officiels et administratifs (JO, BO, bottins, annuaires, etc.);periodical;
magazine;Magazine;;;;popularization-magazine;Périodique, le plus souvent illustré, traitant de divers sujets.;periodical,video;
popularization-magazine;Magazine de vulgarisation;;;;;Magazine utilisant une forme de diffusion pédagogique des connaissances pour mettre le savoir, et éventuellement ses limites et ses incertitudes, à la portée de tous.;periodical;
international-newspaper;Presse internationale;;;;local-newspaper¤national-newspaper¤regionalnewspaper;Périodique diffusé dans plusieurs pays.;periodical;
local-newspaper;Presse locale;;;;international-newspaper¤national-newspaper¤regionalnewspaper;Périodique qui traite de l'actualité locale.;periodical;
