# ------------------------------------------------------------------------------
# Table des supports de documents
#
# Correspond à la liste 150 de Onix for Books 
# avec en plus la liste  7S de Onix for Serials 
#
#
# 2013-11-02 Version initiale au format table, basée sur list 7 de Onix Books.
# 2014-03-31 Révision complète. 
#            Passage à la liste 150 de Onix Books (rev 24) 
#            + liste 7S de Onix Serials (rev 6)
#            Mise au format thesaurus 
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
LB;Clé de licence de produit numérique;;;LA;;Licence de produit numérique fournie par la chaîne d’approvisionnement sous forme de « clé » physique, généralement une cart ou un livret contenant un code permettant à l'acheteur de télécharger le produit associé.;;
LC;Code licence de produit numérique;;;LA;;Licence de produit numérique délivrée par courrier électronique ou autre méthode de distribution électronique, et fournissant généralement un code permettant à l’acquéreur de mettre à niveau ou de prolonger la licence fournie avec le produit associé.;;
# ------------------------------------------------------------------------------
# M - Micro-formes
# ------------------------------------------------------------------------------
MA;Microforme;;;;;Microforme – sans informations détaillées.;;
MB;Microfiche;;;MA;;;;
MC;Microfilm;;;MA;;Microfilm en rouleau.;;
MZ;Autre microforme;;;MA;;Autre microforme non spécifiée par les codes MB ou MC.;;
# ------------------------------------------------------------------------------
# P - Print : imprimés divers
# ------------------------------------------------------------------------------
PA;Imprimés divers;;;;;Matériels imprimés divers – sans informations détaillées.;;
PB;Carnet d’adresses;;;PA;;Possibilité d’utiliser les codes du <ProductFormDetail> P201 à P204 pour spécifier la reliure.;;
PC;Calendrier;;;PA;;;;
PD;Fiches;;;PA;;Fiches, fiches question-réponse (pour l’enseignement ou la lecture, par exemple).;;
PE;Copie de l’original;;;PA;;Copie de l’original, feuilles à photocopier.;;
PF;Agenda;;;PA;;Possibilité d’utiliser les codes du <ProductFormDetail> P201 à P204 pour spécifier la reliure.;;
PG;Frise;;;PA;;Feuille étroite en forme de bande utilisée principalement pour les livres destinés à l’enseignement ou aux enfants (alphabet, chiffres, personnages illustrés, par exemple). Généralement conçue pour une présentation horizontale.;;
PH;Kit;;;PA;;Composants à assembler après achat.;;
PI;Partition musicale;;;PA;;;;
PJ;Livre ou ensemble de cartes-postales;;;PA;;;;
PK;Affiche;;;PA;XF;Affiche pour vente au détail – voir aussi XF.;;
PL;Livre souvenir;;;PA;;Livre souvenir (« livre anniversaire », par exemple) : possibilité d’utiliser les codes du <ProductFormDetail> P201 à P204 pour spécifier la reliure.;;
PM;Portfolio ou classeur;;;PA;;Portfolio ou classeur (contenant des feuilles volantes, etc.) : il est préférable de coder le contenu et de considérer le « portfolio » comme emballage (liste 80) – en cas d’impossibilité, le produit dans sa totalité peut être codé comme « portfolio ».;;
PN;Images ou photos;;;PA;;;;
PO;Carte murale;;;PA;;;;
PP;Autocollants;;;PA;;;;
PQ;Planche (lámina);;;PA;;Feuille de format livre (par opposition au format affiche), généralement en couleur ou en impression haute qualité.;;
